scenario_id,title,kind,target,transport,connections,payload_bytes,throughput_mbps,packets_per_second,offered_packets_per_second,connection_rate_per_second,successful_connections,requested_connections,p99_latency_ms,p99_connect_latency_ms,cpu_avg_percent,cpu_ms_total,cpu_ms_per_operation,cpu_ms_per_connection,peak_memory_bytes,peak_conntrack_count,peak_nf_conntrack_objects,peak_nf_conntrack_bytes,cgroup_memory_current_peak,cgroup_memory_peak_bytes,cgroup_memory_anon_peak_bytes,cgroup_memory_file_peak_bytes,cgroup_memory_kernel_peak_bytes,cgroup_memory_sock_peak_bytes,cgroup_pids_peak,cgroup_threads_peak,host_cpu_ms,host_softirq_ms,error_rate,packet_loss_pct,throughput_pct,pps_pct,connection_rate_pct,active_connections_pct,p99_latency_pct,cpu_pct,memory_pct
tcp_throughput_64k_1,TCP throughput / 64 KiB / 1 connection,tcp_throughput,raddex-l4,tcp,1,65536,1207.1206912,2302.4,0.0,433.21850154918934,1.0,1.0,10.0,5.0,85.558,8555.800000000001,0.3662873523280055,8555.800000000001,6819938.304,0.0,0.0,0.0,6881280.0,10215424.0,5443584.0,0.0,811008.0,192512.0,13.0,13.0,108670.0,17488140.0,0.0,0.0,105.11322132943755,,,,,96.91677335466555,3.805734347571679
tcp_throughput_64k_1,TCP throughput / 64 KiB / 1 connection,tcp_throughput,nat,tcp,1,65536,672.7663616,1283.2,0.0,478.9375249945521,1.0,1.0,100.0,2.0,1.8820000000000001,5069460.0,395.01107594936707,5069460.0,724992.0,3.0,1120.0,286720.0,1167360.0,12632064.0,106496.0,0.0,892928.0,0.0,1.0,1.0,107790.0,5069460.0,0.0,0.0,58.58290723155588,,,,,,
tcp_throughput_64k_16,TCP throughput / 64 KiB / 16 connections,tcp_throughput,nginx,tcp,16,65536,3873.439744,7388.0,0.0,2470.367936600477,16.0,16.0,100.0,10.0,178.186,17818.6,0.2377883053600433,1113.6625,188429107.2,0.0,0.0,0.0,188272640.0,190787584.0,177995776.0,16384.0,1040384.0,8663040.0,3.0,1.0,108680.0,42819000.0,0.0,0.0,100.0,,,,,100.0,100.0
tcp_throughput_64k_16,TCP throughput / 64 KiB / 16 connections,tcp_throughput,caddy,tcp,16,65536,2967.47008,5660.0,0.0,1707.664489180985,16.0,16.0,100.0,10.0,174.97,17497.0,0.3085689045936396,1093.5625,23771217.92,0.0,0.0,0.0,23318528.0,25571328.0,13365248.0,151552.0,765952.0,8253440.0,8.0,8.0,108530.0,37557820.0,0.0,0.0,76.61072008662697,,,,,129.76622383780608,12.615470228158044
tcp_throughput_64k_16,TCP throughput / 64 KiB / 16 connections,tcp_throughput,raddex-l4,tcp,16,65536,6062.0275712,11562.4,0.0,384.62168094626736,16.0,16.0,100.0,100.0,175.314,17531.399999999998,0.15302878295163636,1095.7124999999999,17490247.68,0.0,0.0,0.0,18477056.0,21852160.0,9805824.0,0.0,892928.0,7110656.0,13.0,13.0,108280.0,51799940.0,0.0,0.0,156.50243638332432,,,,,64.35505006014922,9.282136894824708
tcp_throughput_64k_16,TCP throughput / 64 KiB / 16 connections,tcp_throughput,nat,tcp,16,65536,6714.661273600001,12807.2,0.0,2735.387814736286,16.0,16.0,100.0,10.0,2.246,48970580.0,382.3415188576551,3060661.25,925696.0,18.0,1088.0,278528.0,1003520.0,11874304.0,110592.0,0.0,790528.0,0.0,1.0,1.0,107250.0,48970580.0,0.0,0.0,173.35138061721713,,,,,,
tcp_throughput_64k_64,TCP throughput / 64 KiB / 64 connections,tcp_throughput,nginx,tcp,64,65536,3557.6086528,6785.6,0.0,1458.6569111084677,64.0,64.0,123.3,100.0,174.842,17484.2,0.2576662343786843,273.190625,219466956.8,0.0,0.0,0.0,218902528.0,222130176.0,179912704.0,16384.0,1306624.0,37142528.0,3.0,1.0,109990.0,38073660.0,0.0,0.0,100.0,,,,,100.0,100.0
tcp_throughput_64k_64,TCP throughput / 64 KiB / 64 connections,tcp_throughput,caddy,tcp,64,65536,3171.7326848000002,6049.6,0.0,631.8799009567747,64.0,64.0,133.303,100.0,175.23600000000002,17523.600000000002,0.28966543242528436,273.80625000000003,55710842.88,0.0,0.0,0.0,56471552.0,58601472.0,17735680.0,208896.0,1060864.0,36802560.0,9.0,9.0,109370.0,38043600.0,0.0,0.0,89.1535015326574,,,,,112.41885578207807,25.384615384615383
tcp_throughput_64k_64,TCP throughput / 64 KiB / 64 connections,tcp_throughput,raddex-l4,tcp,64,65536,6281.8091008,11981.6,0.0,932.0711090447612,64.0,64.0,100.0,100.0,176.352,17635.2,0.14845016611295683,275.55,55071211.52,0.0,0.0,0.0,53538816.0,56619008.0,15110144.0,0.0,1179648.0,35999744.0,13.0,13.0,108610.0,51307400.0,0.0,0.0,176.57392124498938,,,,,57.613356469045186,25.093167701863354
tcp_throughput_64k_64,TCP throughput / 64 KiB / 64 connections,tcp_throughput,nat,tcp,64,65536,8023.284121600001,15303.2,0.0,1331.1880129181811,64.0,64.0,111.236,100.0,2.212,55776640.0,363.47108027863425,871510.0,2305818.624,66.0,1349.0,345344.0,995328.0,13799424.0,106496.0,0.0,528384.0,0.0,1.0,1.0,108950.0,55776640.0,0.0,0.0,225.52464041499647,,,,,,
udp_flows_10k,UDP flows / 10K clients,udp_flows,nginx,udp,10000,64,0.0,0.0,0.0,3156.886201090582,10000.0,10000.0,,,3.5233333333333334,1169.8623975966664,,0.11698623975966664,411670937.6,0.0,0.0,0.0,411660288.0,412459008.0,341852160.0,16384.0,28819456.0,40972288.0,3.0,1.0,355590.0,2349080.0,0.0,0.0,,,,100.0,,100.0,100.0
udp_flows_10k,UDP flows / 10K clients,udp_flows,caddy,udp,10000,64,0.0,0.0,0.0,728.929901630274,9849.0,10000.0,,,9.01086956521739,3923.314867104456,,0.3983465191496046,755079577.6,0.0,0.0,0.0,755462144.0,758669312.0,685240320.0,237568.0,28774400.0,40349696.0,10.0,10.0,455140.0,2520760.0,0.015100000000000002,0.0,,,,98.49,,340.50715705364746,183.4182373917473
udp_flows_10k,UDP flows / 10K clients,udp_flows,raddex-l4,udp,10000,64,0.0,0.0,0.0,3594.9226814724566,10000.0,10000.0,,,4.1129411764705885,1349.9488147504944,,0.13499488147504946,214748364.8,0.0,0.0,0.0,214765568.0,215126016.0,144568320.0,0.0,29224960.0,40972288.0,13.0,13.0,349470.0,2344800.0,0.0,0.0,,,,100.0,,115.39381191529814,52.1650534895568
udp_flows_10k,UDP flows / 10K clients,udp_flows,nat,udp,10000,64,0.0,0.0,0.0,3785.3349223684813,10000.0,10000.0,,,2.3570588235294117,2209520.0,,220.952,1121976.32,10002.0,50992.0,13053952.0,1298432.0,14610432.0,110592.0,0.0,1126400.0,0.0,1.0,1.0,348730.0,2209520.0,0.0,0.0,,,,100.0,,,
udp_flows_50k,UDP flows / 50K clients,udp_flows,nginx,udp,50000,64,0.0,0.0,0.0,133.24831063869274,28231.0,50000.0,,,40.58112068965517,99668.68458058259,,3.530469504466104,1017433292.8,0.0,0.0,0.0,1018548224.0,1019342848.0,822169600.0,1220608.0,79683584.0,116015104.0,3.0,1.0,2429830.0,10977300.0,0.43538,0.0,,,,100.0,,100.0,100.0
udp_flows_50k,UDP flows / 50K clients,udp_flows,caddy,udp,50000,64,0.0,0.0,0.0,605.7104073269929,48168.0,50000.0,,,72.41625,79429.47193445942,,1.649009133334567,1073741824.0,0.0,0.0,0.0,1073664000.0,1073991680.0,941785088.0,3166208.0,61693952.0,88031232.0,10.0,10.0,1113000.0,11154800.0,0.036640000000000006,0.0,,,,170.62094860259998,,46.70792740876368,105.53437081315057
